本文,いいね数,リポスト数,リプライ数,投稿日時,ユーザー名,フォロワー数,ポストURL
"表には出てこないけど
周りで儲かってるニッチ副業5選

・メンエス体験談販売（ワクスト）
・同人音声販売（声優or AI）
・スピ系非属人Youtube(〜祈祷師系)
・スモビジ取材メディア（サブスク）
・不動産エージェント（実需マンション紹介）

こっそり、だけどアホほど稼いでる",895,37,3,Fri Feb 13 22:46:17 +0000 2026,tom_tokyolife,0,https://x.com/tom_tokyolife/status/2022442228430614631
"パソコンなしでバグ稼ぎできるSNS副業

①裏垢→5,000万〜1億円
②AI占い→3,000万〜6,000万円
③ アダアフィ→300万〜500万
④AI美女・AIアダルト販売→1,500万〜3,000万円
⑤ 高単価アフィリエイト→2,000万〜1億円
⑥ コンテンツ販売→1,000万〜2,500万円
⑦YouTube広告収益→500万〜1,500万円
⑧Instagramアフィ→300万〜1,000万円
⑨AI×情報発信→200万〜800万円
⑩仮想通貨トレード→100万〜500万円
⑪物販→50万〜300万円
⑫メルカリ転売→30万〜50万円",164,11,0,Fri Feb 13 12:36:52 +0000 2026,gaijisandayoo,0,https://x.com/gaijisandayoo/status/2022288864212398438
"スマブラや他社のIPを動画にし収益化した上それを副業扱いまでしておいて、何が「著作権が難しいなら黙っておいた方がいいですよ」だ
黙らなきゃならないのはお前の方だよクソアホ反AI🤗 https://t.co/jMkXT51ckr",219,41,1,Fri Feb 13 12:21:52 +0000 2026,Ji1KxN15VC85UPF,0,https://x.com/Ji1KxN15VC85UPF/status/2022285089816859135
"今、熱量の高い仲間を探してます。

①Xとnoteが生活の一部な人
②交流で温度出せる人（いいねだけOK）
③動ける自信ある人（毎日アクティブ）
④副業に全力な人
⑤AI大好き

ひとつでも刺さったら、ここに来て。
特にnote、X好きは強制ですよ。 https://t.co/iLfUVmSRm3",234,9,71,Fri Feb 13 01:33:22 +0000 2026,Oren46902,0,https://x.com/Oren46902/status/2022121891977474209
"このアカウントは、

・Ｘ運用完全初心者
・X始めたいけど失敗が怖い
・AI知識大してない
・AI副業興味あるけど手をつけられない

と言う人たちへ向けて、
最近まで全く同じ状態だった自分が

XとAIに挑戦している記録を残してます📕

同じフェーズの人は
フォローして僕とやり切りましょう！",186,1,26,Thu Feb 12 23:59:53 +0000 2026,Soru05798,0,https://x.com/Soru05798/status/2022098364989681900
"5時間前からフォロワーさんが20人も増えてるんだが😳

フィーバータイム来たんか♡！

最近フォローしてくれた皆さん宜しくお願いします❤️‍🔥
AI副業で月7桁を目指す日々をこれからも発信していきます！どうか、応援・見守り宜しくお願いします🔥
発信を見て私も始めようかなと思ってくれたら嬉しいし、今やっている副業を頑張ろうと思ってもらえたら嬉しいです！
共に伸ばして行きましょう！！

今日も隙間時間で絡みにいきます❤️‍🔥",160,0,32,Thu Feb 12 23:22:25 +0000 2026,shellneeAI,0,https://x.com/shellneeAI/status/2022088935254724947
"AI画像生成始めてまだ数日の旦那が爆速で伸びてる👀
私も旦那も副業ガチ初心者だったのに、お互い爆速で成果を出せたのは、その道でトップクラスに稼いでる人に、迷わず弟子入りしたから。
このままいけばお互い月100万稼ぐのは余裕だし、億だって狙える。やっぱり私の選択は間違ってなかった。",141,1,28,Thu Feb 12 23:06:11 +0000 2026,1_neruru,0,https://x.com/1_neruru/status/2022084852426960985
"おはようございます✨️

直近は専ら
AI活用とAI全盛期の生き残り方
考えてる🤔𓈒𓂂𓏸

本業も副業も個人事業も
絶対に絡んで来てるし

どうしても考えて行かないと
淘汰されてしまうと想うし

with AIもっと解像度上げていきます🫡

本日頑張ればお休み(|| ﾟДﾟ)ﾊﾔｲ…
頑張っていきましょ〜",139,1,1,Thu Feb 12 22:22:17 +0000 2026,SKYakuEngineer,0,https://x.com/SKYakuEngineer/status/2022073803543916812
"昔の私👇
「Xで伸びる投稿考えて」

→ なんかそれっぽいけど、刺さらん。

今の私👇
「副業気になるけど動けてないワーママ向けに
共感→具体→行動の流れで
140文字以内で」

返ってくる文章の精度、まじで別物。

AIが微妙やったんじゃなくて、
私の聞き方が雑やっただけやった。

ここ気づくまで、時間かなり溶かした。
ほんまにもったいなかったな😇",109,0,18,Thu Feb 12 14:22:42 +0000 2026,airu_mama1,0,https://x.com/airu_mama1/status/2021953113138282530
"お金なくてずっと食べたいものより金額で選んでた。
副業で収益出たから某ファミレスで
今日は迷わず大好きなハンバーグ頼んだ😁
稼げる前と同じお店なのになんか全然ちがう気がする！
気持ちの問題かもしれんけどw https://t.co/Z1skdSNfkY",141,0,37,Thu Feb 12 04:04:41 +0000 2026,natsu_ai__,0,https://x.com/natsu_ai__/status/2021797584290165040
